Runners,Outs,Inning,Top/Bot,score_diff,leverage_index
7,0,1,Bottom,85,0.0
7,0,1,Bottom,86,0.0
7,0,1,Bottom,87,0.0
7,0,1,Bottom,88,0.0
7,0,1,Bottom,89,0.0
7,0,1,Bottom,90,0.0
7,0,1,Bottom,91,0.0
7,0,1,Bottom,92,0.0
7,0,1,Bottom,93,0.0
7,0,1,Bottom,94,0.0
7,0,1,Bottom,95,0.0
7,0,1,Bottom,96,0.0
7,0,1,Bottom,97,0.0
7,0,1,Bottom,98,0.0
7,0,1,Bottom,99,0.0
7,0,1,Bottom,100,0.0
6,0,1,Bottom,-100,0.0
6,0,1,Bottom,-99,0.0
6,0,1,Bottom,-98,0.0
6,0,1,Bottom,-97,0.0
6,0,1,Bottom,-96,0.0
6,0,1,Bottom,-95,0.0
6,0,1,Bottom,-94,0.0
6,0,1,Bottom,-93,0.0
6,0,1,Bottom,-92,0.0
6,0,1,Bottom,-91,0.0
6,0,1,Bottom,-90,0.0
6,0,1,Bottom,-89,0.0
6,0,1,Bottom,-88,0.0
6,0,1,Bottom,-87,0.0
6,0,1,Bottom,-86,0.0
6,0,1,Bottom,-85,0.0
6,0,1,Bottom,-84,0.0
6,0,1,Bottom,-83,0.0
6,0,1,Bottom,-82,0.0
6,0,1,Bottom,-81,0.0
6,0,1,Bottom,-80,0.0
6,0,1,Bottom,-79,0.0
6,0,1,Bottom,-78,0.0
6,0,1,Bottom,-77,0.0
6,0,1,Bottom,-76,0.0
6,0,1,Bottom,-75,0.0
6,0,1,Bottom,-74,0.0
6,0,1,Bottom,-73,0.0
6,0,1,Bottom,-72,0.0
6,0,1,Bottom,-71,0.0
6,0,1,Bottom,-70,0.0
6,0,1,Bottom,-69,0.0
6,0,1,Bottom,-68,0.0
6,0,1,Bottom,-67,0.0
6,0,1,Bottom,-66,0.0
6,0,1,Bottom,-65,0.0
6,0,1,Bottom,-64,0.0
6,0,1,Bottom,-63,0.0
6,0,1,Bottom,-62,0.0
6,0,1,Bottom,-61,0.0
6,0,1,Bottom,-60,0.0
6,0,1,Bottom,-59,0.0
6,0,1,Bottom,-58,0.0
6,0,1,Bottom,-57,0.0
6,0,1,Bottom,-56,0.0
6,0,1,Bottom,-55,0.0
6,0,1,Bottom,-54,0.0
6,0,1,Bottom,-53,0.0
6,0,1,Bottom,-52,0.0
6,0,1,Bottom,-51,0.0
6,0,1,Bottom,-50,0.0
6,0,1,Bottom,-49,0.0
6,0,1,Bottom,-48,0.0
6,0,1,Bottom,-47,0.0
6,0,1,Bottom,-46,0.0
6,0,1,Bottom,-45,0.0
6,0,1,Bottom,-44,0.0
6,0,1,Bottom,-43,0.0
6,0,1,Bottom,-42,0.0
6,0,1,Bottom,-41,0.0
6,0,1,Bottom,-40,0.0
6,0,1,Bottom,-39,0.0
6,0,1,Bottom,-38,0.0
6,0,1,Bottom,-37,0.0
6,0,1,Bottom,-36,0.0
6,0,1,Bottom,-35,0.0
6,0,1,Bottom,-34,0.0
6,0,1,Bottom,-33,0.0
6,0,1,Bottom,-32,0.0
6,0,1,Bottom,-31,0.0
6,0,1,Bottom,-30,0.0
6,0,1,Bottom,-29,0.0
6,0,1,Bottom,-28,0.0
6,0,1,Bottom,-27,0.0
6,0,1,Bottom,-26,0.0
6,0,1,Bottom,-25,0.0
6,0,1,Bottom,-24,0.0
6,0,1,Bottom,-23,0.0
6,0,1,Bottom,-22,0.0
6,0,1,Bottom,-21,0.0
6,0,1,Bottom,-20,0.0
6,0,1,Bottom,-19,0.0
6,0,1,Bottom,-18,0.0
6,0,1,Bottom,-17,0.0
6,0,1,Bottom,-16,0.0
6,0,1,Bottom,-15,0.0
6,0,1,Bottom,-14,0.0
6,0,1,Bottom,-13,0.0
6,0,1,Bottom,-12,0.0
6,0,1,Bottom,-11,0.0
6,0,1,Bottom,-10,0.0
6,0,1,Bottom,-9,0.2333333333333333
6,0,1,Bottom,-8,0.4666666666666666
6,0,1,Bottom,-7,0.7
6,0,1,Bottom,-6,0.9333333333333332
6,0,1,Bottom,-5,1.1666666666666663
6,0,1,Bottom,-4,1.4
6,0,1,Bottom,-3,1.5
6,0,1,Bottom,-2,1.5
6,0,1,Bottom,-1,1.4
6,0,1,Bottom,0,1.3
6,0,1,Bottom,1,1.1
6,0,1,Bottom,2,0.9
6,0,1,Bottom,3,0.7
6,0,1,Bottom,4,0.5
6,0,1,Bottom,5,0.4166666666666667
6,0,1,Bottom,6,0.3333333333333333
6,0,1,Bottom,7,0.25
6,0,1,Bottom,8,0.1666666666666666
6,0,1,Bottom,9,0.0833333333333333
6,0,1,Bottom,10,0.0
6,0,1,Bottom,11,0.0
6,0,1,Bottom,12,0.0
6,0,1,Bottom,13,0.0
6,0,1,Bottom,14,0.0
6,0,1,Bottom,15,0.0
6,0,1,Bottom,16,0.0
6,0,1,Bottom,17,0.0
6,0,1,Bottom,18,0.0
6,0,1,Bottom,19,0.0
6,0,1,Bottom,20,0.0
6,0,1,Bottom,21,0.0
6,0,1,Bottom,22,0.0
6,0,1,Bottom,23,0.0
6,0,1,Bottom,24,0.0
6,0,1,Bottom,25,0.0
6,0,1,Bottom,26,0.0
6,0,1,Bottom,27,0.0
6,0,1,Bottom,28,0.0
6,0,1,Bottom,29,0.0
6,0,1,Bottom,30,0.0
6,0,1,Bottom,31,0.0
6,0,1,Bottom,32,0.0
6,0,1,Bottom,33,0.0
6,0,1,Bottom,34,0.0
6,0,1,Bottom,35,0.0
6,0,1,Bottom,36,0.0
6,0,1,Bottom,37,0.0
6,0,1,Bottom,38,0.0
6,0,1,Bottom,39,0.0
6,0,1,Bottom,40,0.0
6,0,1,Bottom,41,0.0
6,0,1,Bottom,42,0.0
6,0,1,Bottom,43,0.0
6,0,1,Bottom,44,0.0
6,0,1,Bottom,45,0.0
6,0,1,Bottom,46,0.0
6,0,1,Bottom,47,0.0
6,0,1,Bottom,48,0.0
6,0,1,Bottom,49,0.0
6,0,1,Bottom,50,0.0
6,0,1,Bottom,51,0.0
6,0,1,Bottom,52,0.0
6,0,1,Bottom,53,0.0
6,0,1,Bottom,54,0.0
6,0,1,Bottom,55,0.0
6,0,1,Bottom,56,0.0
6,0,1,Bottom,57,0.0
6,0,1,Bottom,58,0.0
6,0,1,Bottom,59,0.0
6,0,1,Bottom,60,0.0
6,0,1,Bottom,61,0.0
6,0,1,Bottom,62,0.0
6,0,1,Bottom,63,0.0
6,0,1,Bottom,64,0.0
6,0,1,Bottom,65,0.0
6,0,1,Bottom,66,0.0
6,0,1,Bottom,67,0.0
6,0,1,Bottom,68,0.0
6,0,1,Bottom,69,0.0
6,0,1,Bottom,70,0.0
6,0,1,Bottom,71,0.0
6,0,1,Bottom,72,0.0
6,0,1,Bottom,73,0.0
6,0,1,Bottom,74,0.0
6,0,1,Bottom,75,0.0
6,0,1,Bottom,76,0.0
6,0,1,Bottom,77,0.0
6,0,1,Bottom,78,0.0
6,0,1,Bottom,79,0.0
6,0,1,Bottom,80,0.0
6,0,1,Bottom,81,0.0
6,0,1,Bottom,82,0.0
6,0,1,Bottom,83,0.0
6,0,1,Bottom,84,0.0
6,0,1,Bottom,85,0.0
6,0,1,Bottom,86,0.0
6,0,1,Bottom,87,0.0
6,0,1,Bottom,88,0.0
6,0,1,Bottom,89,0.0
6,0,1,Bottom,90,0.0
6,0,1,Bottom,91,0.0
6,0,1,Bottom,92,0.0
6,0,1,Bottom,93,0.0
6,0,1,Bottom,94,0.0
6,0,1,Bottom,95,0.0
6,0,1,Bottom,96,0.0
6,0,1,Bottom,97,0.0
6,0,1,Bottom,98,0.0
6,0,1,Bottom,99,0.0
6,0,1,Bottom,100,0.0
2,0,1,Bottom,-100,0.0
2,0,1,Bottom,-99,0.0
2,0,1,Bottom,-98,0.0
2,0,1,Bottom,-97,0.0
2,0,1,Bottom,-96,0.0
2,0,1,Bottom,-95,0.0
2,0,1,Bottom,-94,0.0
2,0,1,Bottom,-93,0.0
2,0,1,Bottom,-92,0.0
2,0,1,Bottom,-91,0.0
2,0,1,Bottom,-90,0.0
2,0,1,Bottom,-89,0.0
2,0,1,Bottom,-88,0.0
2,0,1,Bottom,-87,0.0
2,0,1,Bottom,-86,0.0
2,0,1,Bottom,-85,0.0
2,0,1,Bottom,-84,0.0
2,0,1,Bottom,-83,0.0
2,0,1,Bottom,-82,0.0
2,0,1,Bottom,-81,0.0
2,0,1,Bottom,-80,0.0
2,0,1,Bottom,-79,0.0
2,0,1,Bottom,-78,0.0
2,0,1,Bottom,-77,0.0
2,0,1,Bottom,-76,0.0
2,0,1,Bottom,-75,0.0
2,0,1,Bottom,-74,0.0
2,0,1,Bottom,-73,0.0
2,0,1,Bottom,-72,0.0
2,0,1,Bottom,-71,0.0
2,0,1,Bottom,-70,0.0
2,0,1,Bottom,-69,0.0
2,0,1,Bottom,-68,0.0
2,0,1,Bottom,-67,0.0
2,0,1,Bottom,-66,0.0
2,0,1,Bottom,-65,0.0
2,0,1,Bottom,-64,0.0
2,0,1,Bottom,-63,0.0
2,0,1,Bottom,-62,0.0
2,0,1,Bottom,-61,0.0
2,0,1,Bottom,-60,0.0
2,0,1,Bottom,-59,0.0
2,0,1,Bottom,-58,0.0
2,0,1,Bottom,-57,0.0
2,0,1,Bottom,-56,0.0
2,0,1,Bottom,-55,0.0
2,0,1,Bottom,-54,0.0
2,0,1,Bottom,-53,0.0
2,0,1,Bottom,-52,0.0
2,0,1,Bottom,-51,0.0
2,0,1,Bottom,-50,0.0
2,0,1,Bottom,-49,0.0
2,0,1,Bottom,-48,0.0
2,0,1,Bottom,-47,0.0
2,0,1,Bottom,-46,0.0
2,0,1,Bottom,-45,0.0
2,0,1,Bottom,-44,0.0
2,0,1,Bottom,-43,0.0
2,0,1,Bottom,-42,0.0
2,0,1,Bottom,-41,0.0
2,0,1,Bottom,-40,0.0
2,0,1,Bottom,-39,0.0
2,0,1,Bottom,-38,0.0
2,0,1,Bottom,-37,0.0
2,0,1,Bottom,-36,0.0
2,0,1,Bottom,-35,0.0
2,0,1,Bottom,-34,0.0
2,0,1,Bottom,-33,0.0
2,0,1,Bottom,-32,0.0
2,0,1,Bottom,-31,0.0
2,0,1,Bottom,-30,0.0
2,0,1,Bottom,-29,0.0
2,0,1,Bottom,-28,0.0
2,0,1,Bottom,-27,0.0
2,0,1,Bottom,-26,0.0
2,0,1,Bottom,-25,0.0
2,0,1,Bottom,-24,0.0
2,0,1,Bottom,-23,0.0
2,0,1,Bottom,-22,0.0
2,0,1,Bottom,-21,0.0
2,0,1,Bottom,-20,0.0
2,0,1,Bottom,-19,0.0
2,0,1,Bottom,-18,0.0
2,0,1,Bottom,-17,0.0
2,0,1,Bottom,-16,0.0
2,0,1,Bottom,-15,0.0
2,0,1,Bottom,-14,0.0
2,0,1,Bottom,-13,0.0
2,0,1,Bottom,-12,0.0
2,0,1,Bottom,-11,0.0
2,0,1,Bottom,-10,0.0
2,0,1,Bottom,-9,0.1833333333333333
2,0,1,Bottom,-8,0.3666666666666667
2,0,1,Bottom,-7,0.55
2,0,1,Bottom,-6,0.7333333333333334
2,0,1,Bottom,-5,0.9166666666666669
2,0,1,Bottom,-4,1.1
2,0,1,Bottom,-3,1.2
2,0,1,Bottom,-2,1.3
2,0,1,Bottom,-1,1.2
2,0,1,Bottom,0,1.1
2,0,1,Bottom,1,1.0
2,0,1,Bottom,2,0.8
2,0,1,Bottom,3,0.6
2,0,1,Bottom,4,0.5
2,0,1,Bottom,5,0.4166666666666667
2,0,1,Bottom,6,0.3333333333333333
2,0,1,Bottom,7,0.25
2,0,1,Bottom,8,0.1666666666666666
2,0,1,Bottom,9,0.0833333333333333
2,0,1,Bottom,10,0.0
2,0,1,Bottom,11,0.0
2,0,1,Bottom,12,0.0
2,0,1,Bottom,13,0.0
2,0,1,Bottom,14,0.0
2,0,1,Bottom,15,0.0
2,0,1,Bottom,16,0.0
2,0,1,Bottom,17,0.0
2,0,1,Bottom,18,0.0
2,0,1,Bottom,19,0.0
2,0,1,Bottom,20,0.0
2,0,1,Bottom,21,0.0
2,0,1,Bottom,22,0.0
2,0,1,Bottom,23,0.0
2,0,1,Bottom,24,0.0
2,0,1,Bottom,25,0.0
2,0,1,Bottom,26,0.0
2,0,1,Bottom,27,0.0
2,0,1,Bottom,28,0.0
2,0,1,Bottom,29,0.0
2,0,1,Bottom,30,0.0
2,0,1,Bottom,31,0.0
2,0,1,Bottom,32,0.0
2,0,1,Bottom,33,0.0
2,0,1,Bottom,34,0.0
2,0,1,Bottom,35,0.0
2,0,1,Bottom,36,0.0
2,0,1,Bottom,37,0.0
2,0,1,Bottom,38,0.0
2,0,1,Bottom,39,0.0
2,0,1,Bottom,40,0.0
2,0,1,Bottom,41,0.0
2,0,1,Bottom,42,0.0
2,0,1,Bottom,43,0.0
2,0,1,Bottom,44,0.0
2,0,1,Bottom,45,0.0
2,0,1,Bottom,46,0.0
2,0,1,Bottom,47,0.0
2,0,1,Bottom,48,0.0
2,0,1,Bottom,49,0.0
2,0,1,Bottom,50,0.0
2,0,1,Bottom,51,0.0
2,0,1,Bottom,52,0.0
2,0,1,Bottom,53,0.0
2,0,1,Bottom,54,0.0
2,0,1,Bottom,55,0.0
2,0,1,Bottom,56,0.0
2,0,1,Bottom,57,0.0
2,0,1,Bottom,58,0.0
2,0,1,Bottom,59,0.0
2,0,1,Bottom,60,0.0
2,0,1,Bottom,61,0.0
2,0,1,Bottom,62,0.0
2,0,1,Bottom,63,0.0
2,0,1,Bottom,64,0.0
2,0,1,Bottom,65,0.0
2,0,1,Bottom,66,0.0
2,0,1,Bottom,67,0.0
2,0,1,Bottom,68,0.0
2,0,1,Bottom,69,0.0
2,0,1,Bottom,70,0.0
2,0,1,Bottom,71,0.0
2,0,1,Bottom,72,0.0
2,0,1,Bottom,73,0.0
2,0,1,Bottom,74,0.0
2,0,1,Bottom,75,0.0
2,0,1,Bottom,76,0.0
2,0,1,Bottom,77,0.0
2,0,1,Bottom,78,0.0
2,0,1,Bottom,79,0.0
2,0,1,Bottom,80,0.0
2,0,1,Bottom,81,0.0
2,0,1,Bottom,82,0.0
2,0,1,Bottom,83,0.0
2,0,1,Bottom,84,0.0
2,0,1,Bottom,85,0.0
2,0,1,Bottom,86,0.0
2,0,1,Bottom,87,0.0
2,0,1,Bottom,88,0.0
2,0,1,Bottom,89,0.0
2,0,1,Bottom,90,0.0
2,0,1,Bottom,91,0.0
2,0,1,Bottom,92,0.0
2,0,1,Bottom,93,0.0
2,0,1,Bottom,94,0.0
2,0,1,Bottom,95,0.0
2,0,1,Bottom,96,0.0
2,0,1,Bottom,97,0.0
2,0,1,Bottom,98,0.0
2,0,1,Bottom,99,0.0
2,0,1,Bottom,100,0.0
4,0,1,Bottom,-100,0.0
4,0,1,Bottom,-99,0.0
4,0,1,Bottom,-98,0.0
4,0,1,Bottom,-97,0.0
4,0,1,Bottom,-96,0.0
4,0,1,Bottom,-95,0.0
4,0,1,Bottom,-94,0.0
4,0,1,Bottom,-93,0.0
4,0,1,Bottom,-92,0.0
4,0,1,Bottom,-91,0.0
4,0,1,Bottom,-90,0.0
4,0,1,Bottom,-89,0.0
4,0,1,Bottom,-88,0.0
4,0,1,Bottom,-87,0.0
4,0,1,Bottom,-86,0.0
4,0,1,Bottom,-85,0.0
4,0,1,Bottom,-84,0.0
4,0,1,Bottom,-83,0.0
4,0,1,Bottom,-82,0.0
4,0,1,Bottom,-81,0.0
4,0,1,Bottom,-80,0.0
4,0,1,Bottom,-79,0.0
4,0,1,Bottom,-78,0.0
4,0,1,Bottom,-77,0.0
4,0,1,Bottom,-76,0.0
4,0,1,Bottom,-75,0.0
4,0,1,Bottom,-74,0.0
4,0,1,Bottom,-73,0.0
4,0,1,Bottom,-72,0.0
4,0,1,Bottom,-71,0.0
4,0,1,Bottom,-70,0.0
4,0,1,Bottom,-69,0.0
4,0,1,Bottom,-68,0.0
4,0,1,Bottom,-67,0.0
4,0,1,Bottom,-66,0.0
4,0,1,Bottom,-65,0.0
4,0,1,Bottom,-64,0.0
4,0,1,Bottom,-63,0.0
4,0,1,Bottom,-62,0.0
4,0,1,Bottom,-61,0.0
4,0,1,Bottom,-60,0.0
4,0,1,Bottom,-59,0.0
4,0,1,Bottom,-58,0.0
4,0,1,Bottom,-57,0.0
4,0,1,Bottom,-56,0.0
4,0,1,Bottom,-55,0.0
4,0,1,Bottom,-54,0.0
4,0,1,Bottom,-53,0.0
4,0,1,Bottom,-52,0.0
4,0,1,Bottom,-51,0.0
4,0,1,Bottom,-50,0.0
4,0,1,Bottom,-49,0.0
4,0,1,Bottom,-48,0.0
4,0,1,Bottom,-47,0.0
4,0,1,Bottom,-46,0.0
4,0,1,Bottom,-45,0.0
4,0,1,Bottom,-44,0.0
4,0,1,Bottom,-43,0.0
4,0,1,Bottom,-42,0.0
4,0,1,Bottom,-41,0.0
4,0,1,Bottom,-40,0.0
4,0,1,Bottom,-39,0.0
4,0,1,Bottom,-38,0.0
4,0,1,Bottom,-37,0.0
4,0,1,Bottom,-36,0.0
4,0,1,Bottom,-35,0.0
4,0,1,Bottom,-34,0.0
4,0,1,Bottom,-33,0.0
4,0,1,Bottom,-32,0.0
4,0,1,Bottom,-31,0.0
4,0,1,Bottom,-30,0.0
4,0,1,Bottom,-29,0.0
4,0,1,Bottom,-28,0.0
4,0,1,Bottom,-27,0.0
4,0,1,Bottom,-26,0.0
4,0,1,Bottom,-25,0.0
4,0,1,Bottom,-24,0.0
4,0,1,Bottom,-23,0.0
4,0,1,Bottom,-22,0.0
4,0,1,Bottom,-21,0.0
4,0,1,Bottom,-20,0.0
4,0,1,Bottom,-19,0.0
4,0,1,Bottom,-18,0.0
4,0,1,Bottom,-17,0.0
4,0,1,Bottom,-16,0.0
4,0,1,Bottom,-15,0.0
4,0,1,Bottom,-14,0.0
4,0,1,Bottom,-13,0.0
4,0,1,Bottom,-12,0.0
4,0,1,Bottom,-11,0.0
4,0,1,Bottom,-10,0.0
4,0,1,Bottom,-9,0.1666666666666666
4,0,1,Bottom,-8,0.3333333333333333
4,0,1,Bottom,-7,0.5
4,0,1,Bottom,-6,0.6666666666666666
4,0,1,Bottom,-5,0.8333333333333333
4,0,1,Bottom,-4,1.0
4,0,1,Bottom,-3,1.1
4,0,1,Bottom,-2,1.1
4,0,1,Bottom,-1,1.1
4,0,1,Bottom,0,1.0
4,0,1,Bottom,1,0.8
4,0,1,Bottom,2,0.7
4,0,1,Bottom,3,0.5
4,0,1,Bottom,4,0.4
4,0,1,Bottom,5,0.3333333333333333
4,0,1,Bottom,6,0.2666666666666667
4,0,1,Bottom,7,0.2
4,0,1,Bottom,8,0.1333333333333333
4,0,1,Bottom,9,0.0666666666666667
4,0,1,Bottom,10,0.0
4,0,1,Bottom,11,0.0
4,0,1,Bottom,12,0.0
4,0,1,Bottom,13,0.0
4,0,1,Bottom,14,0.0
4,0,1,Bottom,15,0.0
4,0,1,Bottom,16,0.0
4,0,1,Bottom,17,0.0
4,0,1,Bottom,18,0.0
4,0,1,Bottom,19,0.0
4,0,1,Bottom,20,0.0
4,0,1,Bottom,21,0.0
4,0,1,Bottom,22,0.0
4,0,1,Bottom,23,0.0
4,0,1,Bottom,24,0.0
4,0,1,Bottom,25,0.0
4,0,1,Bottom,26,0.0
4,0,1,Bottom,27,0.0
4,0,1,Bottom,28,0.0
4,0,1,Bottom,29,0.0
4,0,1,Bottom,30,0.0
4,0,1,Bottom,31,0.0
4,0,1,Bottom,32,0.0
4,0,1,Bottom,33,0.0
4,0,1,Bottom,34,0.0
4,0,1,Bottom,35,0.0
4,0,1,Bottom,36,0.0
4,0,1,Bottom,37,0.0
4,0,1,Bottom,38,0.0
4,0,1,Bottom,39,0.0
4,0,1,Bottom,40,0.0
4,0,1,Bottom,41,0.0
4,0,1,Bottom,42,0.0
4,0,1,Bottom,43,0.0
4,0,1,Bottom,44,0.0
4,0,1,Bottom,45,0.0
4,0,1,Bottom,46,0.0
4,0,1,Bottom,47,0.0
4,0,1,Bottom,48,0.0
4,0,1,Bottom,49,0.0
4,0,1,Bottom,50,0.0
4,0,1,Bottom,51,0.0
4,0,1,Bottom,52,0.0
4,0,1,Bottom,53,0.0
4,0,1,Bottom,54,0.0
4,0,1,Bottom,55,0.0
4,0,1,Bottom,56,0.0
4,0,1,Bottom,57,0.0
4,0,1,Bottom,58,0.0
4,0,1,Bottom,59,0.0
4,0,1,Bottom,60,0.0
4,0,1,Bottom,61,0.0
4,0,1,Bottom,62,0.0
4,0,1,Bottom,63,0.0
4,0,1,Bottom,64,0.0
4,0,1,Bottom,65,0.0
4,0,1,Bottom,66,0.0
4,0,1,Bottom,67,0.0
4,0,1,Bottom,68,0.0
4,0,1,Bottom,69,0.0
4,0,1,Bottom,70,0.0
4,0,1,Bottom,71,0.0
4,0,1,Bottom,72,0.0
4,0,1,Bottom,73,0.0
4,0,1,Bottom,74,0.0
4,0,1,Bottom,75,0.0
4,0,1,Bottom,76,0.0
4,0,1,Bottom,77,0.0
4,0,1,Bottom,78,0.0
4,0,1,Bottom,79,0.0
4,0,1,Bottom,80,0.0
4,0,1,Bottom,81,0.0
4,0,1,Bottom,82,0.0
4,0,1,Bottom,83,0.0
4,0,1,Bottom,84,0.0
4,0,1,Bottom,85,0.0
4,0,1,Bottom,86,0.0
4,0,1,Bottom,87,0.0
4,0,1,Bottom,88,0.0
4,0,1,Bottom,89,0.0
4,0,1,Bottom,90,0.0
4,0,1,Bottom,91,0.0
4,0,1,Bottom,92,0.0
4,0,1,Bottom,93,0.0
4,0,1,Bottom,94,0.0
4,0,1,Bottom,95,0.0
4,0,1,Bottom,96,0.0
4,0,1,Bottom,97,0.0
4,0,1,Bottom,98,0.0
4,0,1,Bottom,99,0.0
4,0,1,Bottom,100,0.0
0,0,1,Bottom,-100,0.0
0,0,1,Bottom,-99,0.0
0,0,1,Bottom,-98,0.0
0,0,1,Bottom,-97,0.0
0,0,1,Bottom,-96,0.0
0,0,1,Bottom,-95,0.0
0,0,1,Bottom,-94,0.0
0,0,1,Bottom,-93,0.0
0,0,1,Bottom,-92,0.0
0,0,1,Bottom,-91,0.0
0,0,1,Bottom,-90,0.0
0,0,1,Bottom,-89,0.0
0,0,1,Bottom,-88,0.0
0,0,1,Bottom,-87,0.0
0,0,1,Bottom,-86,0.0
0,0,1,Bottom,-85,0.0
0,0,1,Bottom,-84,0.0
0,0,1,Bottom,-83,0.0
0,0,1,Bottom,-82,0.0
0,0,1,Bottom,-81,0.0
0,0,1,Bottom,-80,0.0
0,0,1,Bottom,-79,0.0
0,0,1,Bottom,-78,0.0
0,0,1,Bottom,-77,0.0
0,0,1,Bottom,-76,0.0
0,0,1,Bottom,-75,0.0
0,0,1,Bottom,-74,0.0
0,0,1,Bottom,-73,0.0
0,0,1,Bottom,-72,0.0
0,0,1,Bottom,-71,0.0
0,0,1,Bottom,-70,0.0
0,0,1,Bottom,-69,0.0
0,0,1,Bottom,-68,0.0
0,0,1,Bottom,-67,0.0
0,0,1,Bottom,-66,0.0
0,0,1,Bottom,-65,0.0
0,0,1,Bottom,-64,0.0
0,0,1,Bottom,-63,0.0
0,0,1,Bottom,-62,0.0
0,0,1,Bottom,-61,0.0
0,0,1,Bottom,-60,0.0
0,0,1,Bottom,-59,0.0
0,0,1,Bottom,-58,0.0
0,0,1,Bottom,-57,0.0
0,0,1,Bottom,-56,0.0
0,0,1,Bottom,-55,0.0
0,0,1,Bottom,-54,0.0
0,0,1,Bottom,-53,0.0
0,0,1,Bottom,-52,0.0
0,0,1,Bottom,-51,0.0
0,0,1,Bottom,-50,0.0
0,0,1,Bottom,-49,0.0
0,0,1,Bottom,-48,0.0
0,0,1,Bottom,-47,0.0
0,0,1,Bottom,-46,0.0
0,0,1,Bottom,-45,0.0
0,0,1,Bottom,-44,0.0
0,0,1,Bottom,-43,0.0
0,0,1,Bottom,-42,0.0
0,0,1,Bottom,-41,0.0
0,0,1,Bottom,-40,0.0
0,0,1,Bottom,-39,0.0
0,0,1,Bottom,-38,0.0
0,0,1,Bottom,-37,0.0
0,0,1,Bottom,-36,0.0
0,0,1,Bottom,-35,0.0
0,0,1,Bottom,-34,0.0
0,0,1,Bottom,-33,0.0
0,0,1,Bottom,-32,0.0
0,0,1,Bottom,-31,0.0
0,0,1,Bottom,-30,0.0
0,0,1,Bottom,-29,0.0
0,0,1,Bottom,-28,0.0
0,0,1,Bottom,-27,0.0
0,0,1,Bottom,-26,0.0
0,0,1,Bottom,-25,0.0
0,0,1,Bottom,-24,0.0
0,0,1,Bottom,-23,0.0
0,0,1,Bottom,-22,0.0
0,0,1,Bottom,-21,0.0
0,0,1,Bottom,-20,0.0
0,0,1,Bottom,-19,0.0
0,0,1,Bottom,-18,0.0
0,0,1,Bottom,-17,0.0
0,0,1,Bottom,-16,0.0
0,0,1,Bottom,-15,0.0
0,0,1,Bottom,-14,0.0
0,0,1,Bottom,-13,0.0
0,0,1,Bottom,-12,0.0
0,0,1,Bottom,-11,0.0
0,0,1,Bottom,-10,0.0
0,0,1,Bottom,-9,0.1166666666666666
0,0,1,Bottom,-8,0.2333333333333333
0,0,1,Bottom,-7,0.35
0,0,1,Bottom,-6,0.4666666666666666
0,0,1,Bottom,-5,0.5833333333333333
0,0,1,Bottom,-4,0.7
0,0,1,Bottom,-3,0.8
0,0,1,Bottom,-2,0.9
0,0,1,Bottom,-1,0.9
0,0,1,Bottom,0,0.9
0,0,1,Bottom,1,0.8
0,0,1,Bottom,2,0.6
0,0,1,Bottom,3,0.5
0,0,1,Bottom,4,0.4
0,0,1,Bottom,5,0.3333333333333333
0,0,1,Bottom,6,0.2666666666666667
0,0,1,Bottom,7,0.2
0,0,1,Bottom,8,0.1333333333333333
0,0,1,Bottom,9,0.0666666666666667
0,0,1,Bottom,10,0.0
0,0,1,Bottom,11,0.0
0,0,1,Bottom,12,0.0
0,0,1,Bottom,13,0.0
0,0,1,Bottom,14,0.0
0,0,1,Bottom,15,0.0
0,0,1,Bottom,16,0.0
0,0,1,Bottom,17,0.0
0,0,1,Bottom,18,0.0
0,0,1,Bottom,19,0.0
0,0,1,Bottom,20,0.0
0,0,1,Bottom,21,0.0
0,0,1,Bottom,22,0.0
0,0,1,Bottom,23,0.0
0,0,1,Bottom,24,0.0
0,0,1,Bottom,25,0.0
0,0,1,Bottom,26,0.0
0,0,1,Bottom,27,0.0
0,0,1,Bottom,28,0.0
0,0,1,Bottom,29,0.0
0,0,1,Bottom,30,0.0
0,0,1,Bottom,31,0.0
0,0,1,Bottom,32,0.0
0,0,1,Bottom,33,0.0
0,0,1,Bottom,34,0.0
0,0,1,Bottom,35,0.0
0,0,1,Bottom,36,0.0
0,0,1,Bottom,37,0.0
0,0,1,Bottom,38,0.0
0,0,1,Bottom,39,0.0
0,0,1,Bottom,40,0.0
0,0,1,Bottom,41,0.0
0,0,1,Bottom,42,0.0
0,0,1,Bottom,43,0.0
0,0,1,Bottom,44,0.0
0,0,1,Bottom,45,0.0
0,0,1,Bottom,46,0.0
0,0,1,Bottom,47,0.0
0,0,1,Bottom,48,0.0
0,0,1,Bottom,49,0.0
0,0,1,Bottom,50,0.0
0,0,1,Bottom,51,0.0
0,0,1,Bottom,52,0.0
0,0,1,Bottom,53,0.0
0,0,1,Bottom,54,0.0
0,0,1,Bottom,55,0.0
0,0,1,Bottom,56,0.0
0,0,1,Bottom,57,0.0
0,0,1,Bottom,58,0.0
0,0,1,Bottom,59,0.0
0,0,1,Bottom,60,0.0
0,0,1,Bottom,61,0.0
0,0,1,Bottom,62,0.0
0,0,1,Bottom,63,0.0
0,0,1,Bottom,64,0.0
0,0,1,Bottom,65,0.0
0,0,1,Bottom,66,0.0
0,0,1,Bottom,67,0.0
0,0,1,Bottom,68,0.0
